"YEAR","ELECTION_E","ELECTION_F","PROVINCE_ID","PROVINCE_E","PROVINCE_F","GENDER_E","GENDER_F","AGE_GROUP_ID","AGE_GROUP_E","AGE_GROUP_F","VOTES","ELIGIBLE_ELECTORS","TURNOUT_ELIGIBLE_ELECTOR"
2004,"GE 38, 2004","ÉG 38, 2004",10,"Newfoundland and Labrador","Terre-Neuve-et-Labrador","All genders","Tous les genres",1,"First time","1re fois",6360,27145,0.2342889616
2004,"GE 38, 2004","ÉG 38, 2004",10,"Newfoundland and Labrador","Terre-Neuve-et-Labrador","All genders","Tous les genres",2,"Not first time","2e fois ou plus",5386,23570,0.2285151781
2004,"GE 38, 2004","ÉG 38, 2004",10,"Newfoundland and Labrador","Terre-Neuve-et-Labrador","All genders","Tous les genres",3,"18 to 24 years","18 à 24 ans",11746,50716,0.2316010058
2004,"GE 38, 2004","ÉG 38, 2004",10,"Newfoundland and Labrador","Terre-Neuve-et-Labrador","All genders","Tous les genres",4,"25 to 34 years","25 à 34 ans",22340,64397,0.3469049439
2004,"GE 38, 2004","ÉG 38, 2004",10,"Newfoundland and Labrador","Terre-Neuve-et-Labrador","All genders","Tous les genres",5,"35 to 44 years","35 à 44 ans",37938,83220,0.4558723118
2004,"GE 38, 2004","ÉG 38, 2004",10,"Newfoundland and Labrador","Terre-Neuve-et-Labrador","All genders","Tous les genres",6,"45 to 54 years","45 à 54 ans",47237,84885,0.5564818091
2004,"GE 38, 2004","ÉG 38, 2004",10,"Newfoundland and Labrador","Terre-Neuve-et-Labrador","All genders","Tous les genres",7,"55 to 64 years","55 à 64 ans",40019,61811,0.6474389007
2004,"GE 38, 2004","ÉG 38, 2004",10,"Newfoundland and Labrador","Terre-Neuve-et-Labrador","All genders","Tous les genres",8,"65 to 74 years","65 à 74 ans",22848,36826,0.6204440863
2004,"GE 38, 2004","ÉG 38, 2004",10,"Newfoundland and Labrador","Terre-Neuve-et-Labrador","All genders","Tous les genres",9,"75 years and over","75 ans et plus",16271,29666,0.5484566086
2004,"GE 38, 2004","ÉG 38, 2004",10,"Newfoundland and Labrador","Terre-Neuve-et-Labrador","All genders","Tous les genres",10,"All ages","Tous les âges",198398,411521,0.482109054
2004,"GE 38, 2004","ÉG 38, 2004",11,"Prince Edward Island","Île-du-Prince-Édouard","All genders","Tous les genres",1,"First time","1re fois",3727,7061,0.5278858923
2004,"GE 38, 2004","ÉG 38, 2004",11,"Prince Edward Island","Île-du-Prince-Édouard","All genders","Tous les genres",2,"Not first time","2e fois ou plus",2752,6214,0.4428939892
2004,"GE 38, 2004","ÉG 38, 2004",11,"Prince Edward Island","Île-du-Prince-Édouard","All genders","Tous les genres",3,"18 to 24 years","18 à 24 ans",6480,13274,0.4881381298
2004,"GE 38, 2004","ÉG 38, 2004",11,"Prince Edward Island","Île-du-Prince-Édouard","All genders","Tous les genres",4,"25 to 34 years","25 à 34 ans",10029,16634,0.6029047352
2004,"GE 38, 2004","ÉG 38, 2004",11,"Prince Edward Island","Île-du-Prince-Édouard","All genders","Tous les genres",5,"35 to 44 years","35 à 44 ans",15114,20365,0.7421419244
