Year,Province,Turnout_%,Wage_Growth_%
2019,Alberta,68.61,4.49
2019,British Columbia,65.47,4.63
2019,Manitoba,63.59,0.38
2019,New Brunswick,72.53,0.07
2019,Newfoundland and Labrador,58.16,1.35
2019,Northwest Territories,50.5,4.11
2019,Nova Scotia,71.36,4.98
2019,Nunavut,39.62,9.94
2019,Ontario,66.36,2.7
2019,Prince Edward Island,75.45,3.49
2019,Quebec,67.82,2.34
2019,Saskatchewan,71.36,-1.5
2019,Yukon,69.49,1.46
2021,Alberta,62.95,-1.3
2021,British Columbia,61.23,2.45
2021,Manitoba,61.58,-0.3
2021,New Brunswick,65.16,4.19
2021,Newfoundland and Labrador,52.42,-0.63
2021,Northwest Territories,43.99,0.67
2021,Nova Scotia,64.64,2.38
2021,Nunavut,29.37,-14.27
2021,Ontario,61.35,2.41
2021,Prince Edward Island,72.76,8.26
2021,Quebec,63.98,2.28
2021,Saskatchewan,63.71,-0.18
2021,Yukon,62.66,10.11
2025,Alberta,69.61,2.78
2025,British Columbia,69.18,2.63
2025,Manitoba,67.17,4.34
2025,New Brunswick,73.11,-0.6
2025,Newfoundland and Labrador,65.77,5.78
2025,Northwest Territories,54.92,4.41
2025,Nova Scotia,72.35,1.12
2025,Nunavut,35.36,-4.1
2025,Ontario,69.15,3.27
2025,Prince Edward Island,78.69,9.58
2025,Quebec,67.94,5.49
2025,Saskatchewan,67.87,2.7
2025,Yukon,72.51,5.29
